Des-I,Emp-I,Des-O,Emp-O,MES,DIANOM,TIPOVUELO,OPERA,SIGLADES,high_season,period_day
SPJC,SKU,SPJC,SKU,3,1,1,Sky Airline,Lima,0,0
SCIE,LAW,SCIE,JMR,1,1,0,Latin American Wings,Concepcion,0,0
MPTO,CMP,MPTO,CMP,2,1,1,Copa Air,Ciudad de Panama,0,0
SCTE,LAN,SCTE,LXP,2,1,0,Grupo LATAM,Puerto Montt,0,0
SBGR,TAM,SBGR,TAM,2,1,1,Grupo LATAM,Sao Paulo,0,0
SCSE,SKU,SCSE,SKU,2,0,0,Sky Airline,La Serena,1,0
SCIE,LAN,SCIE,LXP,2,0,0,Grupo LATAM,Concepcion,0,0
SPJC,LAN,SPJC,LPE,3,1,1,Grupo LATAM,Lima,1,0
LEMD,LAN,LEMD,LAN,2,1,1,Grupo LATAM,Madrid,1,0
SPJC,LAN,SPJC,LPE,1,1,1,Grupo LATAM,Lima,0,1
SABE,LAN,SABE,LAN,3,0,1,Grupo LATAM,Buenos Aires,0,1
SCDA,SKU,SCDA,SKU,2,0,0,Sky Airline,Iquique,1,0
SCFA,LAN,SCFA,LXP,2,1,0,Grupo LATAM,Antofagasta,0,0
SCCI,LAN,SCCI,LXP,1,0,0,Grupo LATAM,Punta Arenas,0,1
SAME,LAN,SAME,LAN,2,1,1,Grupo LATAM,Mendoza,0,1
other,LAN,other,LAN,3,0,1,Grupo LATAM,Rosario,0,1
SCFA,LAN,SCFA,LAN,3,1,0,Grupo LATAM,Antofagasta,0,0
SCBA,LAN,SCBA,LXP,2,1,0,Grupo LATAM,Balmaceda,1,1
SPJC,LAN,SPJC,LAN,2,0,1,Grupo LATAM,Lima,0,0
SCVD,LAN,SCVD,LXP,2,0,0,Grupo LATAM,Valdivia,0,0
SCBA,LAN,SCBA,LXP,1,1,0,Grupo LATAM,Balmaceda,0,1
MPTO,CMP,MPTO,CMP,2,0,1,Copa Air,Ciudad de Panama,0,1
SBGL,GLO,SBGL,GLO,2,0,1,Gol Trans,Rio de Janeiro,1,0
SCFA,LAN,SCFA,LXP,3,1,0,Grupo LATAM,Antofagasta,1,0
SACO,SKU,SACO,SKU,2,0,1,Sky Airline,Cordoba,0,0
SAEZ,ARG,SAEZ,ARG,2,1,1,Aerolineas Argentinas,Buenos Aires,1,0
SCFA,LAN,SCFA,LAN,1,0,0,Grupo LATAM,Antofagasta,0,0
SABE,ARG,SABE,ARG,3,0,1,Aerolineas Argentinas,Buenos Aires,0,0
SCTE,LAN,SCTE,LXP,2,1,0,Grupo LATAM,Puerto Montt,1,1
SCCI,SKU,SCCI,SKU,2,0,0,Sky Airline,Punta Arenas,1,1
SAEZ,SKU,SAEZ,SKU,3,1,1,Sky Airline,Buenos Aires,0,0
SGAS,LAP,SGAS,LAP,3,1,1,Grupo LATAM,Asuncion,0,0
SAEZ,LAN,SAEZ,LAN,2,1,1,Grupo LATAM,Buenos Aires,1,1
SCCF,LAN,SCCF,LXP,2,0,0,Grupo LATAM,Calama,1,0
SABE,ARG,SABE,ARG,3,0,1,Aerolineas Argentinas,Buenos Aires,0,0
SCDA,SKU,SCDA,SKU,1,0,0,Sky Airline,Iquique,0,1
SCFA,LAN,SCFA,LAN,3,0,0,Grupo LATAM,Antofagasta,0,0
SKBO,AVA,SKBO,AVA,2,0,1,Avianca,Bogota,1,1
SCAT,LAN,SCAT,LAN,2,1,0,Grupo LATAM,Copiapo,1,0
SCVD,LAN,SCVD,LXP,3,1,0,Grupo LATAM,Valdivia,1,0
SCTE,SKU,SCTE,SKU,2,0,0,Sky Airline,Puerto Montt,1,0
SAME,LAN,SAME,LAN,1,1,1,Grupo LATAM,Mendoza,0,0
SBGL,GLO,SBGL,GLO,2,1,1,Gol Trans,Rio de Janeiro,1,0
SCQP,LAN,SCQP,LAN,2,1,0,Grupo LATAM,Temuco,0,1
SAEZ,SKU,SAEZ,SKU,1,0,1,Sky Airline,Buenos Aires,0,1
SCCF,LAN,SCCF,LXP,1,0,0,Grupo LATAM,Calama,0,0
SCTE,LAN,SCTE,LXP,2,0,0,Grupo LATAM,Puerto Montt,1,1
SCDA,LAN,SCDA,LAN,3,0,0,Grupo LATAM,Iquique,1,1
SCDA,LAN,SCDA,LAN,3,1,0,Grupo LATAM,Iquique,1,0
SCBA,SKU,SCBA,SKU,3,1,0,Sky Airline,Balmaceda,1,1
KLAX,LAN,KLAX,LAN,3,1,1,Grupo LATAM,Los Angeles,1,0
SAEZ,KLM,SAEZ,KLM,3,1,1,K.L.M.,Buenos Aires,0,1
SCFA,SKU,SCFA,SKU,2,0,0,Sky Airline,Antofagasta,1,1
SBGL,TAM,SBGL,TAM,2,0,1,Grupo LATAM,Rio de Janeiro,1,0
SPJC,LAN,SPJC,LPE,3,1,1,Grupo LATAM,Lima,0,1
SACO,LAN,SACO,LAN,3,0,1,Grupo LATAM,Cordoba,0,1
SABE,LAN,SABE,DSM,3,0,1,Grupo LATAM,Buenos Aires,0,1
SABE,ARG,SABE,ARG,2,0,1,Aerolineas Argentinas,Buenos Aires,1,0
KJFK,LAN,KJFK,LAN,2,0,1,Grupo LATAM,Nueva York,0,0
SBGR,GLO,SBGR,GLO,2,0,1,Gol Trans,Sao Paulo,0,0
SCFA,SKU,SCFA,SKU,3,1,0,Sky Airline,Antofagasta,0,0
SPJC,LAN,SPJC,LAN,1,0,1,Grupo LATAM,Lima,0,0
SCFA,LAN,SCFA,LXP,2,0,0,Grupo LATAM,Antofagasta,1,0
SCTE,SKU,SCTE,SKU,3,0,0,Sky Airline,Puerto Montt,0,1
SAME,LAN,SAME,LAN,1,1,1,Grupo LATAM,Mendoza,1,1
SUMU,LAN,SUMU,LAN,3,0,1,Grupo LATAM,Montevideo,0,0
SBGR,TAM,SBGR,TAM,2,0,1,Grupo LATAM,Sao Paulo,0,0
SBGL,TAM,SBGL,TAM,1,0,1,Grupo LATAM,Rio de Janeiro,0,1
SCAR,LAN,SCAR,LXP,2,1,0,Grupo LATAM,Arica,0,0
SCFA,LAN,SCFA,LAN,3,0,0,Grupo LATAM,Antofagasta,0,1
SPJC,LAN,SPJC,LAN,2,1,1,Grupo LATAM,Lima,0,1
SCFA,SKU,SCFA,SKU,2,1,0,Sky Airline,Antofagasta,1,0
SCIE,SKU,SCIE,SKU,2,1,0,Sky Airline,Concepcion,1,1
SCQP,SKU,SCQP,SKU,2,0,0,Sky Airline,Temuco,1,0
SCTE,LAN,SCTE,LXP,3,1,0,Grupo LATAM,Puerto Montt,1,0
SGAS,LAP,SGAS,LAP,1,0,1,Grupo LATAM,Asuncion,1,0
SCTE,LAN,SCTE,LXP,3,0,0,Grupo LATAM,Puerto Montt,0,1
SCCF,SKU,SCCF,SKU,2,1,0,Sky Airline,Calama,1,0
SCCI,LAN,SCCI,LXP,1,1,0,Grupo LATAM,Punta Arenas,0,1
SCCI,LAN,SCCI,LAN,2,0,0,Grupo LATAM,Punta Arenas,0,1
MPTO,CMP,MPTO,CMP,2,0,1,Copa Air,Ciudad de Panama,0,0
SAEZ,LAN,SAEZ,LAN,1,1,1,Grupo LATAM,Buenos Aires,0,0
SBGL,TAM,SBGL,TAM,2,1,1,Grupo LATAM,Rio de Janeiro,0,1
SBGL,TAM,SBGL,TAM,2,1,1,Grupo LATAM,Rio de Janeiro,1,0
EGLL,BAW,EGLL,BAW,3,1,1,British Airways,Londres,0,0
SCIE,LAW,SCIE,JMR,2,0,0,Latin American Wings,Concepcion,0,1
SPJC,LAN,SPJC,LAN,3,0,1,Grupo LATAM,Lima,1,0
SCAR,LAN,SCAR,LAN,1,1,0,Grupo LATAM,Arica,0,0
SCCF,LAN,SCCF,LXP,3,1,0,Grupo LATAM,Calama,0,0
SCTE,SKU,SCTE,SKU,2,1,0,Sky Airline,Puerto Montt,0,1
SCDA,LAN,SCDA,LAN,2,1,0,Grupo LATAM,Iquique,1,0
MPTO,CMP,MPTO,CMP,2,0,1,Copa Air,Ciudad de Panama,0,0
SCAR,SKU,SCAR,SKU,3,1,0,Sky Airline,Arica,0,0
SBGL,TAM,SBGL,TAM,2,0,1,Grupo LATAM,Rio de Janeiro,0,0
SCFA,LAN,SCFA,LAN,3,1,0,Grupo LATAM,Antofagasta,0,1
SCVD,SKU,SCVD,SKU,2,1,0,Sky Airline,Valdivia,1,0
CYYZ,ACA,CYYZ,ACA,3,1,1,Air Canada,Toronto,0,0
SCQP,LAN,SCQP,LXP,1,0,0,Grupo LATAM,Temuco,0,1
SABE,ARG,SABE,ARG,3,0,1,Aerolineas Argentinas,Buenos Aires,0,1
SCFA,JAT,SCFA,JAT,2,1,0,JetSmart SPA,Antofagasta,1,0
